#l, nm	Basic Multi2 DD	 Astro Multi2 DD	Astro Multi2 std Si	Basic Multi2 std Si	Astro Midband DD	Basic NIR DD	Basic Mid Std Si	e2v_Spec
300	0
310	0
320	0
330	0
340	0
350	0
360	0
370	0
380	0
390	0
400	41.0
410	45.0
420	49.0
430	53.0
440	57.0
450	61.0
460	65.0
470	69.0
480	73.0
490	77.0
500	81.0
510	81.5
520	82.0
530	82.5
540	83.0
550	83.5
560	84.0
570	84.5
580	85.0
590	85.5
600	86.0
610	84.7
620	83.4
630	82.1
640	80.8
650	79.5
660	78.2
670	76.9
680	75.6
690	74.3
700	73.0
710	70.4
720	67.8
730	65.2
740	62.6
750	60.0
760	57.4
770	54.8
780	52.2
790	49.6
800	47.0
810	44.1
820	41.2
830	38.3
840	35.4
850	32.5
860	29.6
870	26.7
880	23.8
890	20.9
900	18.0
910	16.4
920	14.8
930	13.2
940	11.6
950	10.0
960	8.4
970	6.8
980	5.2
990	3.6
1000	2.0
1010	0
1020	0
1030	0
1040	0
1050	0
1060	0
1070	0
1080	0
1090	0
1100	0
