# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 1160 b,Confirmed,79,40,65,,,,,,,,,,80,0,0,,,,,,,0.772947,2012,8/22/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,4,4,-0.3,,,,,,,,,A0V,0.05,0.04,0.04,,,,,,
HD 118865 B,Confirmed,55,13,13,,,,,,,,,,9200,,,,,,,,,,2013,1/24/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,ULAS J133943.79+010436.4,,HD 118865 A,204.8930236,1.08836844,7.98,,,6.73,,,,,,,,,,,,,,F8V,3.2,1.7,1.7,,,,,,"2MASS J13393431+0105180, HIP 66637"
HD 126053 B,Confirmed,35,15,15,,,,0.9,0.1,0.1,,,,2630,,,,,,,,,,2012,1/24/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Published in a refereed paper,Imaging,Spectrum,,"WISE J142320.84+011638.0, BD+01 2920 B",,HD 126053 A,215.8136865,1.241567174,6.27,5.39,5.05,4.81,4.64,17.4385,0.011,0.011,-0.38,0.06,0.06,0.87,0.07,0.07,,,,G1V,8.5,6,6,5750,100,100,,,"2MASS J14231528+0114294, HIP 70319, BD+01 2920"
HD 169142 b,Confirmed,2.2,1.2,1.8,,,,,,,,,,36.4,,,,,,,,,,2014,1/23/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,HD169142,276.1241042,-29.78050808,8.16,,7.31,,,117,,,,,,1.65,,,1.6,,,A7V,12,,,7650,150,150,Imaging,,
HD 19467 b,Confirmed,52,4.3,4.3,,,,,,,,,,51.1,1,1,,,,,,,,2016,1/8/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 19467,46.82916667,-13.76166669,7,,,,,30.86,0.6,0.6,-0.15,0.04,0.04,0.95,0.02,0.02,1.15,0.03,0.03,G3V,7.2,2.8,2.8,5680,40,40,,,
HD 203030 b,Confirmed,11,4,4,,,,,,,,,,487,,,,,,,,,,2017,12/21/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,Published in a refereed paper,Imaging,Spectrum,,"HIP 105232 b, V457 Vul b",,HD 203030,319.7416667,26.2305556,8.43,,,,,41,1.2,1.2,,,,0.97,,,,,,G8V,0.25,0.07,0.07,,,,,,
HD 206893 b,Confirmed,22.5,8,8,,,,,,,,,,10,,,,,,,,,,2016,9/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 206893,326.3416667,-12.78333335,6.67,,,,,38.34,0.8,0.8,,,,1.24,,,,,,F5V,1.1,1,1,6486,,,,,
HD 284149 b,Confirmed,32,18,14,,,,,,,,,,400,,,,,,,,,,2014,7/31/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537,,,,,,Published in a refereed paper,Imaging,,,,,HD 284149,61.66250001,20.30305556,9.63,,,,,108.2,18.5,18.5,,,,1.14,0.05,0.05,,,,F8,0.025,0.025,0.01,6040,60,60,,,
HD 3651B,Confirmed,53,15,15,,,,0.8,0.06,0.06,,,,476,6,6,,,,,,,,2006,3/5/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,Published in a refereed paper,Imaging,Theoretical,,"GL 27B, 54 PscB, 0039+2115",,HD 3651,9.8375,21.2502778,5.8,,,,,11,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5.13,,,5173,,,IR Excess,,54 Psc
HD 95086 b,Confirmed,2.6,0.4,0.4,,,,,,,,,,61.7,8.4,20.7,0.2,0.2,0,153,13.5,9.7,,2013,4/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,3.85,Published in a refereed paper,Imaging,Spectrum,,,,HD 95086,164.2625,-68.6672,7.36,,,,,90.4,3.3,3.3,,,,1.6,,,,,,A8III,0.017,0.004,0.004,7550,100,100,Imaging,,
HD 97334 b,Confirmed,53,,,,,,,,,,,,2620,,,,,,,,,,2001,11/27/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,GJ 417 b,,HD 97334,168.1347939,35.81408101,6.41,,,,,22.6538,0.0197,0.0197,-0.01,,,0.05,,,,,,G0V,,,,,,,,,GJ 417
HD 984 b,Confirmed,48,3,3,,,,,,,,,,18,4,10,,,,,,,,2017,4/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 984,3.54166667,-7.199166683,7.3,,,,,47.1,1.4,1.4,,,,1.2,,,,,,F7V,0.08,0.05,0.12,6315,89,89,,,
HII 1348 b,Confirmed,59,6,6,,,,,,,,,,138,7,7,,,,,,,,2012,5/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HII 1348,56.82500001,24.39083335,12.8,,,,,127,7,7,,,,,,,,,,K5V,,,,,,,,,
HIP 38939 B,Confirmed,38,20,20,,,,,,,,,,1630,,,,,,,,,,2012,1/24/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Published in a refereed paper,Imaging,,,HD 65486 B,,HIP 38939 A,119.5182104,-25.6266283,8.44,7.28,6.51,5.94,5.83,18.4839,0.0132,0.0132,-0.3,0.1,0.1,,,,,,,K4V,0.9,0.6,1.9,4683,35,35,,,"2MASS J07580434-2537356, HD 65486 A"
HIP 64892 b,Confirmed,33,4,4,,,,,,,,,,159,12,12,,,,,,,,2018,6/29/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 64892,199.5208333,-44.05527778,6.8,,,,,125,,,,,,2.35,,,1.79,,,B9.5V,0.016,,,10400,,,,,
HIP 65426 b,Confirmed,9,3,3,,,,1.5,0.1,0.1,,,,92,,,,,,,,,,2017,2/22/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,150,150,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 65426,201.15,-51.50444446,7.01,,,,,11.1,0.3,0.3,,,,1.96,0.04,0.04,1.77,0.05,0.05,A2V,0.014,0.004,0.004,8840,200,200,,,"HD 116434, 2MASS J13243609-5130159 "
HIP 73990 b,Confirmed,21,5,30,,,,,,,,,,20,4,4,,,,,,,,2015,2/28/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 73990,226.8125,-29.50444446,8.12,,,,,125,15,15,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450,80,80,,,HD 133803
HIP 73990 c,Confirmed,22,6,35,,,,,,,,,,32,7,7,,,,,,,,2015,5/20/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 73990,226.8125,-29.50444446,8.12,,,,,125,15,15,,,,1.72,0.1,0.1,,,,A9V,0.015,0.005,0.005,7450,80,80,,,HD 133803
HIP 74865 b,Confirmed,28,10,37,,,,,,,,,,23,6,6,,,,,,,,2015,5/20/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HIP 74865,229.4833334,-30.47805557,9,,,,,115,15,15,,,,1.42,0.05,0.05,,,,F3V,0.015,0.005,0.005,6640,10,10,,,HD 135778
HIP 77900 b,Confirmed,20,3,7,,,,,,,,,,3200,300,300,,,,,,,,2013,5/26/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 77900,238.625,-27.3386,,,,,,,,,,,,,,,,,,B6,,,,13700,1550,1200,,,
HIP 78530 b,Confirmed,23.04,4,4,,,,,,,,,,710,60,60,,,,,,,4.530951,2011,1/26/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HIP 78530,240.4791667,-21.9802778,7.18,,,,,156.7,13,13,,,,2.5,0,0,,,,B9V,0.011,0.002,0.002,10500,0,0,,,
HN Peg b,Confirmed,16,9.4,9.4,,,,1.1,0.06,0.06,,,,795,15,15,,,,,,,43.206522,2007,4/23/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HN Peg,326.1291667,14.7719444,6,,,,,18.4,0.3,0.3,,,,1,,,,,,G0V,0.2,,,,,,,,
HR 2562 b,Confirmed,26,13,9,,,,,,,,,,20.3,0.3,0.3,,,,,,,,2016,4/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 2562,102.5042264,-60.2491438,6.114,,,,,33.63,0.48,0.48,0.015,0.065,0.065,1.3,,,,,,F5V,0.6,0.3,0.3,,,,IR Excess,,
HR 3549 b,Confirmed,45,5,5,,,,,,,,,,80,,,,,,,,,,2015,6/22/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 3549,133.2666667,-56.64944447,6.01,,,,,92.5,,,,,,,,,,,,A0V,0.125,0.025,0.025,10207,347,347,IR Excess,,HD 76346
HR 7329,Confirmed,35,15,15,,,,,,,,,,,,,,,,,,,,2000,5/16/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,HR 7329,290.7125,-54.4238889,5,,,,,48,,,,,,,,,,,,A0V,0.03,0.03,0,,,,,,
HR 8799 b,Confirmed,7,2,4,,,,1.2,0.1,0.1,164250,,,68,,,0,,,28,,,1.725888,2008,3/13/15,,,,,,,,,,,,,,,,,,,,,,2047.1,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,"CH4, CO, H2O",HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 c,Confirmed,8.3,0.6,0.6,,,,1.3,0,0,82145,,,42.9,,,0,,,28,,,1.088832,2008,4/12/19,,,,,,,,,,,,,,,,,,,,,,1936.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,H2O,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 d,Confirmed,8.3,0.6,0.6,,,,1.2,0,0,41054,,,27,,,0.1,,,28,,,0.685279,2008,4/12/19,80.2,,,,,,,,,,,,,,,,,,,,,2003.7,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
HR 8799 e,Confirmed,9.2,0.6,0.6,,,,1.17,0.13,0.13,18000,0,0,16.4,1.1,2.1,0.15,0.08,0.08,25,8,8,0.36802,2010,4/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,1,1,-0.47,,,1.56,,,1.5,0.3,0.3,A5V,0.06,0.03,0.03,,,,Imaging,,HD 218396
J1324+63,Confirmed,11.5,0.5,0.5,,,,1.23,0.02,0.02,,,,,,,,,,56,7,11,,2018,6/29/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2MASS J13243553+6358281,201.1916667,63.9702778,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,2MASS J13243553+6358281
L2 Pup b,Confirmed,12,11.99,16,,,,,,,,,,2,,,,,,,,,,2016,12/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,L2 Pup,108.3846588,-44.63973974,5.1,,,,,64,4,4,0.008,,,0.659,0.011,0.011,,,,M5,,,,3500,250,250,,,
LHS 2397a B,Confirmed,64,15,15,,,,,,,5194,40,40,3.09,0.1,0.1,0.35,0.005,0.005,41.9,1.1,1.1,,2009,1/24/19,38.5,2.4,2.4,2453845,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,Published in a refereed paper,Imaging,Spectrum,,2MASS J11214924-1313084 B,,LHS 2397a A,170.4548837,-13.21909133,19.57,,11.93,11.23,10.74,14.3905,0.03654,0.03654,,,,0.0839,0.0015,0.0007,,,,M8V,1.5,0.6,4.1,2580,50,50,,,2MASS J11214924-1313084
LHS 6176 B,Confirmed,45,14,14,,,,,,,,,,970,,,,,,,,,,2013,1/24/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,Published in a refereed paper,Imaging,Spectrum,,"2MASS J09504959+0118135 B, G 48-43 B",,LHS 6176 A,147.7066328,1.303785191,13.88,,9.8,9.23,8.95,19.6846,0.0296,0.0296,-0.3,0.1,0.1,,,,,,,M4V,3.5,0,10,,,,,,"2MASS J09504959+0118135, G 48-43"
LKCA 15 b,Confirmed,6,1,1,,,,,,,40000,0,0,15.7,2.1,2.1,,,,,,,0.108276,2011,9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,LKCA 15,69.825,22.3508333,11.91,,,,,145,15,15,,,,0.97,0.03,0.03,,,,K5V,0.002,,,,,,,,
LP 261-75 b,Confirmed,21,5,10,,,,,,,,,,450,120,120,,,,,,,,2006,12/21/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"NLTT 22741 b, 2MASS J09510459+3558098 b",,LP 261-75,147.7690653,35.96929604,15.33,11.9,10.58,9.96,9.69,33.96,0.1594,0.1594,,,,0.22,,,,,,M4.5,0.15,0.05,0.05,,,,,,"2MASS J09510459+3558098, NLTT 22741"
LSR J1835,Confirmed,55,4,4,,,,,,,,,,,,,,,,,,,,2017,9/13/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,LSR J1835,278.75,32.98333335,,,,,,,,,,,,,,,,,,M8.5,0.022,0.004,0.004,,,,,,
Luhman 16 A,Confirmed,33.5,0.3,0.3,,,,,,,,,,,,,,,,,,,,2013,9/19/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J10491891-5319100 A, LUH 16 A, WISE J104915.57-531906.1 A",,,162.3288125,-53.31946668,,,,,,1.998,0.0004,0.0004,,,,,,,,,,,,,,,,,,,
Luhman 16 B,Confirmed,28.6,0.3,0.3,,,,,,,,,,,,,,,,,,,,2013,9/19/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"WISE J104915.57-531906.1 B, LUH 16 B",,,162.3288125,-53.31946668,,,,,,1.998,0.0004,0.0004,,,,,,,,,,,,,,,,,,,
Oumuamua,Confirmed,,,,,,,2.00E-06,,,,,,,,,1.196,0.004,0.004,,,,,2017,11/10/18,241.5,0.3,0.3,2458055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,Theoretical,"'Oumuamua, 1I/2017_U1",,Sun,0,0,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
PDS 70 b,Confirmed,10.5,3.5,3.5,,,,,,,43465,,,22,,,,,,,,,,2018,7/4/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,PDS 70,212.0423105,-41.39793796,12.233,,,,,113.43,0.52,0.52,,,,0.76,0.02,0.02,1.26,0.15,0.15,K7,0.0054,0.001,0.001,3972,36,36,Imaging,,"2MASS J14081015-4123525, V* V1032 Cen"
PHL 5038 b,Confirmed,60,,,,,,,,,,,,67,,,,,,,,,,2009,12/11/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,WD 2217-009 b,,PHL 5038,335.1279011,-0.685409587,,,16.73,16.44,16.31,72.9357,1.213,1.213,,,,0.7,0.2,0.2,,,,DA,2.3,0.4,0.4,8000,100,100,,,WD 2217-009
PSO J318.5-22,Confirmed,,,,,,,,,,,,,,,,,,,,,,,2018,10/1/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,J318.5338-22.8603,,,318.53344,-22.85996,,,,,,24.6,1.4,1.4,,,,,,,,,,,,,,,,,,,
PZ Tel b,Confirmed,64,5,5,,,,,,,,,,20,,,0.62,,,,,,,2010,4/12/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2987,,,,,4.78,Published in a refereed paper,Imaging,,,,,PZ Tel,283.275,-50.1805556,8.43,,,,,51.49,2.6,2.6,0.05,0.2,0.2,1.13,0.03,0.03,1.23,0.04,0.04,G6.5,0.023,0.003,0.003,5338,200,200,,,"HD 174429, HIP 92680"
Proplyd 133-353,Confirmed,13,,,,,,,,,,,,,,,,,,,,,,2016,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,Proplyd 133-353,83.80416667,-5.398055575,,,,,,388,5,5,,,,,,,,,,,0.0005,,,,,,,,
ROXs 12 b,Confirmed,16,4,4,,,,,,,,,,210,20,20,,,,,,,,2013,12/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,ROXs 12,246.6041667,-24.54333332,15.5,,,,,120,,,,,,0.87,0.08,0.08,,,,M0,0.0076,0.0041,0.0025,3850,100,70,,,
ROXs 42B b,Confirmed,9,3,3,,,,2.5,,,,,,140,10,10,,,,,,,,2013,4/2/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,,,,,3.6,Published in a refereed paper,Imaging,,,,"CO, H2O, K",ROXs 42B,247.8125,-24.5456,14.27,,,,,135,5,5,,,,0.6,,,,,,M0 D,0.0068,0.0023,0.0034,2200,200,200,,,
Ross 458 (AB) c,Confirmed,11.3,4.5,4.5,,,,1.07,0.07,0.07,,,,1168,,,,,,,,,10.245614,2010,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,4.35,Published in a refereed paper,Imaging,,,"Ross 458C, WISEPC J130041.65+122114.6 , HIP 63510C","CH4, H2, H2O, K",Ross 458 (AB),195.1958333,12.3758333,9.76,,,,,11.7,0.2,0.2,0,,,0.6,0.08,0.08,,,,M0.5,0.475,0.325,0.325,,,,,,"DT Virginis, HIP 63510, GI 494"
S Ori 68,Confirmed,5,,,,,,,,,,,,1700,300,300,,,,,,,,2000,2/26/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2MASS J05383888-0228016,84.66204651,-2.467147604,,17.1,15.3,,14.4,362.33,45.83,45.83,,,,,,,,,,M5V,,,,,,,,,"Mayrit 487350, SE 70"
SDSS J105213.51+442255.7 A,Confirmed,49,3,3,,,,,,,,,,,,,,,,,,,,2015,4/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J10521350+4422559 A,,,163.0562708,44.38219724,,,,,,26.1,0.5,0.5,,,,,,,,,,,,,,,,,,,
SDSS J105213.51+442255.7 B,Confirmed,39,3,3,,,,,,,3144,9,9,1.84,0.04,0.04,0.1399,0.023,0.023,62.1,0.4,0.4,,2015,4/1/19,187.3,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,2MASS J10521350+4422559 B,,,163.0562708,44.38219724,,,,,,26.1,0.5,0.5,,,,,,,,,,,,,,,,,,,
SDSS J1110+0116,Confirmed,11,1,1,,,,1.18,0.02,0.02,,,,,,,,,,,,,,2015,7/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,SDSS J1110+0116,167.5416667,1.270277786,,,,,16.05,19.19,0.44,0.44,,,,,,,,,,T5.5,0.12,0.01,0.01,940,20,20,,,SDSS J111010.01+011613.1
SIMP0136+0933,Confirmed,12.7,1,1,,,,,,,,,,,,,,,,,,,,2017,7/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,Published in a refereed paper,Imaging,,,SIMP J013656.5+093347,,SIMP0136+0933 ,24.23591669,9.56313891,,,,,12.585,6,,,,,,,,,,,,T2.5,0.2,0.05,0.05,1098,6,6,,,
SR 12 (AB) c,Confirmed,13,7,7,,,,,,,,,,1083,217,217,,,,,,,8.664,2011,10/29/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,SR 12 (AB),246.8333333,-24.6944444,13.28,,,,,125,25,25,,,,,,,,,,K4-M2.5,0.001,inf,nan,,,,,,
TWA 5 A (AB) b,Confirmed,25,20,120,,,,,,,,,,86,,,0.45,,,,,,,2009,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TWA 5 A (AB),172.9791667,-34.6075,12.12,,,,,25,,,,,,0.4,,,,,,M1.5,0.1,0.09,0.09,,,,,,
Teide 1,Confirmed,54,,,,,,,,,,,,,,,,,,,,,,1995,9/3/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2584,,,,,,Published in a refereed paper,Imaging,,,2MASS J03471792+2422317,,,56.82466667,24.37547224,,,,,,120.2,1.9,1.9,,,,,,,,,,,,,,,,,,,
UGPS J0722-0540,Confirmed,18.2,0.6,0.6,,,,,,,,,,,,,,,,,,,,2010,9/19/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,UGPS J072227.51-054031.2,,,110.616125,-5.675305576,,,,,,4.06,0.63,0.63,,,,,,,,,,,,,,,,,,,
ULAS1335,Confirmed,12.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,2009,9/17/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,ULAS J133553.45+113005.2,,,203.9727084,11.50144446,,,,,,10.3,0.3,0.3,,,,,,,,,,,,,,,,,,,
ULASJ0034,Confirmed,12.5,7.5,7.5,,,,,,,,,,,,,,,,,,,,2007,9/17/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"CFBDS J003402-005206, ULAS J0034-00, ULAS J003402.77-005206.7",,,8.511545834,-0.868550019,,,,,,12.6,0.6,0.6,,,,,,,,,,,,,,,,,,,
USco J155150.2-213457,Confirmed,8,3,3,,,,,,,,,,,,,,,,,,,,2016,4/4/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,237.9591667,21.58250002,,,,,,145,2,2,,,,,,,,,,,,,,,,,,,
USco1602-2401 b,Confirmed,47,18,20,,,,,,,,,,1000,140,140,,,,,,,,2013,5/22/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1602-2401,240.7125,-24.030666,,,12.5,,,,,,,,,,,,,,,K4,,,,4550,120,120,,,
USco1610-1913 b,Confirmed,20,3,7,,,,,,,,,,840,90,90,,,,,,,,2013,5/22/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1610-1913,242.6333,-19.219055,,,13.9,,,,,,,,,,,,,,,K7,,,,4140,130,160,,,
USco1612-1800 b,Confirmed,26,7,16,,,,,,,,,,430,40,40,,,,,,,,2013,5/22/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,,,,,,,,,Published in a refereed paper,Imaging,,,,,USco1612-1800,243.2042,-18.01375,,,,,13.2,,,,,,,,,,,,,M3,,,,3410,130,150,,,
UScoCTIO 108 b,Confirmed,14,8,2,,,,,,,,,,670,,,,,,,,,4.62069,2007,5/26/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,UScoCTIO 108,241.475,-18.3119444,,15.65,14.42,15.07,,145,2,2,,,,0.057,0.02,0.02,,,,M7,0.011,0.002,0.002,2600,100,100,,,
VHS 1256-1257 b,Confirmed,11.2,1.8,9.7,,,,,,,,,,102,9,9,,,,,,,,2015,7/25/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,VHS 1256-1257 ,194.0083333,-12.95666669,17.8,,,,,12.7,1,1,,,,0.073,0.02,0.015,,,,M7.5,0.2,0.1,0.05,2620,140,140,,,
WD 0806-661 B b,Confirmed,8,2,2,,,,,,,,,,2500,,,,,,,,,130.208333,2011,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,WD 0806-661B,121.725,-66.3047222,,,,,,19.2,0.6,0.6,,,,0.62,0.03,0.03,,,,DQ D,1.5,0.3,0.3,,,,,,
WISE  J1355-8258 b,Confirmed,61,8,6,,,,,,,,,,,,,,,,,,,,2018,11/5/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,WISE  J1355-8258,208.7625,-82.97722225,,,,,,33,19,0,,,,0.069,0.005,0.004,,,,sdL5,,,,,,,,,
